Comment,Designator,Footprint,LCSC, LCSC Part #, Part #
"0.1uF","C1,C4,C13,C14","PrntrBoardV2:C_0603_1608Metric","","C14663","CC0603KRX7R9BB104"
"100uV 35V","C15","Capacitor_SMD:CP_Elec_6.3x7.7","","C171732","VE-101M1VTR-0607"
"2.2uF","C2","PrntrBoardV2:C_0603_1608Metric",""," C23630","CL10A225KO8NNNC"
"0.022uF 50V","C3","PrntrBoardV2:C_0603_1608Metric","","C21122","CL10B223KB8NNNC"
"0.1uF 50V","C5,C6","PrntrBoardV2:C_0402_1005Metric","","C1525","CL05B104KO5NNNC"
"10uF 50V","C7,C8","PrntrBoardV2:C_1206_3216Metric","","C13585","CL31A106KBHNNNE"
"1000pF","C9,C10,C11,C12","PrntrBoardV2:C_0603_1608Metric","","C1588","CL10B102KB8NNNC"
"Conn_01x04_Male","J2","PrntrBoardV2:Molex-SL-4POS",""
"470","R1","PrntrBoardV2:R_0603_1608Metric","","C23179","0603WAF4700T5E"
"0R091","R2,R3","Resistor_SMD:R_1210_3225Metric","","C247542","1206W3F910MT5E"
"TMC2209-LA","U1","PrntrBoardV2:TMC22xx_QFN","","C465949","TMC2209-LA"
"74LVC1G06","U2","Package_TO_SOT_SMD:SOT-353_SC-70-5","","C426704","74LVC1G06GW,125"
"24LC02","U3","PrntrBoardV2:TDFN-8-1EP_3x2mm_P0.5mm_EP1.56x1.45mm","","C184154","CAT24C02VP2IGT3A"
