Comment,Designator,Footprint,LCSC, LCSC Part #, Part #
"10uF 50V","C1,C2","PrntrBoardV2:C_1206_3216Metric","","C13585","CL31A106KBHNNNE"
"100uF 35V","C13","Capacitor_SMD:CP_Elec_6.3x7.7","","C171732","VE-101M1VTR-0607"
"0.1uF","C3,C6,C14","PrntrBoardV2:C_0603_1608Metric","","C14663","CC0603KRX7R9BB104"
"0.1uF 50V","C4","PrntrBoardV2:C_0402_1005Metric","","C1525","CL05B104KO5NNNC"
"0.47uF","C5","PrntrBoardV2:C_0603_1608Metric","","C1623","CL10B474KA8NNNC"
"0.01uF","C7,C12","PrntrBoardV2:C_0603_1608Metric","","C57112","0603B103K500NT"
"1000pF","C8,C9,C10,C11","PrntrBoardV2:C_0603_1608Metric","","C1588","CL10B102KB8NNNC"
"PCIe_Stepper","J1","Connector_PCBEdge:BUS_PCIexpress",""
"Conn_01x04_Male","J2","PrntrBoardV2:Molex-SL-4POS",""
"22R","R1,R3","PrntrBoardV2:R_0603_1608Metric","","C23345","0603WAF220JT5E"
"0R051","R2,R4","Resistor_SMD:R_2512_6332Metric","","C270949","CS121WF510MT4E"
"TMC2660","U1","PrntrBoardV2:TMC2660","","C92654","TMC2660-PA"
"74LVC1G06","U2","Package_TO_SOT_SMD:SOT-353_SC-70-5","","C7828","SN74LVC1G06DCKR"
"24LC02","U3","PrntrBoardV2:TDFN-8-1EP_3x2mm_P0.5mm_EP1.56x1.45mm","","C184154","CAT24C02VP2IGT3A"
